"イキタイ","サ活","サウナ飯","ターゲット","市区町村","施設名","施設タイプ","住所","TEL","HP","定休日","営業時間","料金","URL","CREATE_AT"
"547","1019","73","対象：男女","北海道 千歳市","新千歳空港温泉","温浴施設（スーパー銭湯・サウナ・スパ施設）","北海道 千歳市 美々987-22","0123-46-4126","http://www.new-chitose-airport-onsen.com/","年２回","月曜日: 10時00分～9時00分\n火曜日: 10時00分～9時00分\n水曜日: 10時00分～9時00分\n木曜日: 10時00分～9時00分\n金曜日: 10時00分～9時00分\n土曜日: 10時00分～9時00分\n日曜日: 10時00分～9時00分\n\nサウナ利用可能時間 : 10時〜23時","【マル得セット入館料】\n大人(中学生以上):1500円\n※タイムズ会員は100円引き\n子供(小学生):800円\n幼児(3歳〜未就学児):600円\n\n【朝風呂入浴】AM5:00〜8:00(最終受付7:30)\n大人(中学生以上):800円\n子供(小学生)・幼児(3歳〜未就学児):400円\n\n【深夜料金】\n※深夜料金深夜1時以降は、深夜料金を別途頂戴いたします。\n\n大人（中学生以上） 1,500円\n子供（小学生） 800円\n幼児（3才～未就学児） 600円","https://sauna-ikitai.com/saunas/252","2022/08/09 22:41:24"
"547","1321","31","対象：男女","埼玉県 川越市","小さな旅 川越温泉","温浴施設（スーパー銭湯・サウナ・スパ施設）","埼玉県 川越市 上野田町41-7","049-249-4126","http://www.kawagoe-onsen.com/","原則 年中無休","平日10:00～25:00 / 土日祝 9:00～25:00\n（※暫くの間、24時閉店につき注意。最終入館受付時刻は23時。）","平日 一般800円、会員700円\n土日祝日 一般900円、会員800円\n回数券（10枚綴り） 7000円（土日祝も使用可）\n月1で回数券がお買い得になります。\n\nタオルセット（バスタオル、フェイスタオル）300円","https://sauna-ikitai.com/saunas/1479","2022/08/09 22:41:27"
"540","245","37","対象：男女","神奈川県 厚木市","Sauna kota LEPO","その他","神奈川県 厚木市 七沢２７５８","080-9464-9963","https://saunakota-lepo.amebaownd.com/","水曜日 不定休\n(営業している場合もあり)\n※HPの予約サイトで要確認","①9：45～11：45\n②12：00～14：00\n③14：15～16：15\n④16：30～19：00　（2.5時間コース）","入浴時間込み 120分　3500円(税込)\n\n入浴時間込み 150分 4000円(税込)\n\n※料金には温泉入浴代金が含まれております。\n\n●レンタル\nポンチョ　500円（税込）\nバスタオル　500円（税込）\nハンドタオル　200円（税込）\n注意：水着のレンタルはありませんので持込必須。","https://sauna-ikitai.com/saunas/13250","2022/08/09 22:41:30"
"534","4169","206","対象：男女","滋賀県 大津市","都湯-ZEZE-","銭湯（公衆浴場）","滋賀県 大津市 馬場3-12-21","090-3820-1126","https://miyakoyu.jp/","木曜日","月曜日：14:00〜24:00\n火曜日：14:00〜24:00\n水曜日：14:00〜24:00\n木曜日：定休日\n金曜日：14:00〜24:00\n土曜日：14:00〜24:00\n日曜日：14:00〜24:00\n\n※7月4日〜9日4日の期間はサマータイム\n平日:15:00〜24:00\n土曜日:14:00〜24:00\n日曜日:8:00〜24:00","【入浴料金】\n450円　サウナ100円\n※PayPayで支払い可能\n【無料サービス】\nシャンプー、ボディソープ\n（女湯はクレンジングオイル）\nドライヤー（IZUMIの超速乾）\n綿棒 ティッシュ\n携帯充電、無料Wi-Fi完備","https://sauna-ikitai.com/saunas/5098","2022/08/09 22:41:33"
"531","2999","109","対象：男女","埼玉県 川口市","天然温泉 スパロイヤル川口","温浴施設（スーパー銭湯・サウナ・スパ施設）","埼玉県 川口市 朝日3-13-27","048-227-2611","http://spa-royal-kawaguchi.jp/","基本なし。","月曜日: 9時00分～1時00分\n火曜日: 9時00分～1時00分\n水曜日: 9時00分～1時00分\n木曜日: 9時00分～1時00分\n金曜日: 9時00分～1時00分\n土曜日: 6時00分～1時00分\n日曜日: 6時00分～1時00分\n祝　日: 6時00分～1時00分","大人\n平日870円 休日970円\n小人（小学生）\n平日430円 休日480円\n幼児\n平日220円 休日240円\n岩盤浴\n平日670円 休日770円","https://sauna-ikitai.com/saunas/1554","2022/08/09 22:41:36"
"531","1254","57","対象：男女","岐阜県 羽島郡岐南町","養心薬湯","銭湯（公衆浴場）","岐阜県 羽島郡岐南町 徳田西1-104","058-272-2651","https://www.yohshin-yakutoh.com/","-","月曜日: 12時00分～23時00分\n火曜日: 12時00分～23時00分\n水曜日: 12時00分～23時00分\n木曜日: 12時00分～23時00分\n金曜日: 12時00分～23時00分\n土曜日: 10時00分～23時00分\n日曜日: 10時00分～23時00分","色々アメニティあります。\n\n入浴券600円\n\n\nマッサージ40分コース4,000円\nマッサージ60分コース6,000円\n（予約はフロントまで）","https://sauna-ikitai.com/saunas/5365","2022/08/09 22:41:40"
"530","69","3","対象：男女","東京都 町田市","HOTEL Love Fairy (ラブフェアリー)","ラブホテル","東京都 町田市 鶴間7-20-1","042-706-2330","https://fairy-group.jp/love-fairy/","年中無休","月曜日: 24 時間営業\n火曜日: 24 時間営業\n水曜日: 24 時間営業\n木曜日: 24 時間営業\n金曜日: 24 時間営業\n土曜日: 24 時間営業\n日曜日: 24 時間営業","サウナはLuxury Rooms(特Aランク)の401号室のみ\n1.5時間 3,600円～\n宿泊 7,500円～","https://sauna-ikitai.com/saunas/5405","2022/08/09 22:41:43"
"529","143","16","対象：男女","長崎県 諫早市","御湯神指しベストパワーランド","温浴施設（スーパー銭湯・サウナ・スパ施設）","長崎県 諫早市 飯盛町川下234","0957-49-1616","https://onyukamisashi.jp/","木曜日、年末年始、お盆","10:00〜17:00","サウナのみ\n2,800円(税込)\n漢方コース(サウナとよもぎ蒸し)\n3,700円(税込)\n※どちらのコースもタオル、バスタオル、ガウン無料貸し出しあり\n\n※サウナ回数券もあります\n六枚綴で15,000円(税込)","https://sauna-ikitai.com/saunas/4048","2022/08/09 22:41:46"
"529","1417","80","対象：男女","京都府 京田辺市","SPA&HOTEL水春 松井山手","温浴施設（スーパー銭湯・サウナ・スパ施設）","京都府 京田辺市 山手中央5-1","0774-62-1126","http://suisyun.jp/matsuiyamate/","年中無休","当面の間＜短縮営業＞6時〜24時（最終入館23時30分）\n\n月曜日: 6時00分～2時00分\n火曜日: 6時00分～2時00分\n水曜日: 6時00分～2時00分\n木曜日: 6時00分～2時00分\n金曜日: 6時00分～2時00分\n土曜日: 6時00分～2時00分\n日曜日: 6時00分～2時00分","通常入館料金(9:00-26:00)\n1,000円(大人)、600円(小人)\n\n早朝入館料金(6:00-9:00)\n800円(大人)、500円(小人)\n\nリクライナー料金\n300円(平日)、500円(土日祝)\n\n岩盤浴\n800円(平日)、900円(土日祝)\n\n深夜料金\n1,500円(大人、日〜木曜)、2,000円(大人、\n金〜土曜・祝前日)\n1,000円(小人、日〜木曜)、1,400円(小人、\n金〜土曜・祝前日)\nレンタルタオルセット200円\n\n（税別）","https://sauna-ikitai.com/saunas/5158","2022/08/09 22:41:49"
"527","215","33","対象：男女","北海道 川上郡標茶町","Kushiro Marshland Hostel THE GEEK","ホテル・旅館","北海道 川上郡標茶町 塘路原野北7線49-43","015-487-2100","https://thegeek.jp/","-","通常期間（4月〜10月）\n* 1st round: 10:00-12:00\n* 2nd round: 13:00-15:00\n* 3rd round: 16:00-18:00\n* 4th round: 19:00-21:00\n冬季期間（11月〜3月）\n* 1st round: 09:30-11:30\n* 2nd round: 12:30-14:30\n* 3rd round: 15:30-17:30\n* 4th round: 18:30-20:30 ※4th roundは、貸切のみ","料金（シャワー棟完成に伴い、価格を通常料金に戻しました）\n* お一人様：3,300円（税込）\n* 貸切料金：19,800円（税込）\n* 水着・ポンチョ・タオルのレンタル有\n* タオル大：550円\n* タオル小：220円\n* タオルセット（大・小）： 660円\n* 水着：330円\n* ポンチョ：660円\n* 全部セット：1,100円（ご宿泊の場合は無料）\n※上記いずれも通知なく変更となる場合がございますこと、ご了承ください。","https://sauna-ikitai.com/saunas/11181","2022/08/09 22:41:53"
"526","917","50","対象：男女","千葉県 山武郡芝山町","成田空港温泉 空の湯","温浴施設（スーパー銭湯・サウナ・スパ施設）","千葉県 山武郡芝山町 香山新田27-1","0479-78-2615","https://soranoyu.com/","不定休(定期メンテナンス)","月曜日: 11：00～23：00\n火曜日: 11：00～23：00\n水曜日: 11：00～23：00\n木曜日: 11：00～23：00\n金曜日: 11：00～23：00\n土曜日: 11：00～23：00\n日曜日: 11：00～23：00","平日ですが入浴時間180分で1,000円。\n受付後ではなく、１階から上の階に移動する前にゲートが有り、リストバンドでゲート通過してから180分です。\n\n21時から深夜割引で700円。(23時閉店)","https://sauna-ikitai.com/saunas/7428","2022/08/09 22:41:57"
"525","910","69","対象：男女","神奈川県 横浜市","スパ リブール ヨコハマ","温浴施設（スーパー銭湯・サウナ・スパ施設）","神奈川県 横浜市 鶴見区獅子ケ谷2-39-18","045-575-7573","http://www.libur.co.jp/","-","月曜日: 10時00分～8時00分\n火曜日: 10時00分～8時00分\n水曜日: 10時00分～8時00分\n木曜日: 10時00分～8時00分\n金曜日: 10時00分～8時00分\n土曜日: 10時00分～8時00分\n日曜日: 10時00分～8時00分","平日 1520円（シニア1320円）\n土日祝 1750円（シニア1520円）\n\n平日60分コース 880円\n土日祝60分コース 1,000円","https://sauna-ikitai.com/saunas/2145","2022/08/09 22:41:59"
"525","580","43","対象：男女","東京都 渋谷区","マイサウナ暖力","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 渋谷区 神宮前３丁目２１−２１ とびたビル 1F奥","-","https://mysauna-danryoku.com/","-","月　AM8:30～翌AM4:30\n火～土　AM7:00～翌AM4:30\n日　AM7:00～PM12:00\n祝　AM7:00～翌AM4:30","80分：5,400円（税込）\n120分：8,100円（税込）\n深夜4時間半パック（0:00～4:30）：8,800円（税込）","https://sauna-ikitai.com/saunas/12738","2022/08/09 22:42:03"
"522","120","22","対象：男女","埼玉県 比企郡ときがわ町","ときたまひみつきち COMORIVER(コモリバ)","キャンプ場","埼玉県 比企郡ときがわ町 大字本郷930-1","0493-81-5477","https://comoriver.com/","基本的に年中無休","月曜日: 8時00分～18時00分\n火曜日: 8時00分～18時00分\n水曜日: 8時00分～18時00分\n木曜日: 8時00分～18時00分\n金曜日: 8時00分～18時00分\n土曜日: 8時00分～18時00分\n日曜日: 8時00分～18時00分","日帰りサウナ　税込¥16,500〜\n宿泊 サウナデラックス 税込\32,500〜","https://sauna-ikitai.com/saunas/9290","2022/08/09 22:42:06"
"519","1119","91","対象：男女","長野県 松本市","林檎の湯屋 おぶ～","温浴施設（スーパー銭湯・サウナ・スパ施設）","長野県 松本市 石芝3-9-44","0263-24-2602","http://www.orchard.co.jp/obu/huro/index.html","機械設備点検の為、年に３回の休館日あり","■入浴時間\n9:00～23:00 （最終入場22:30）\n■レストラン・カフェ\n・ダイニング\n11:00〜21:30（オーダーストップ）\n・カフェ\n10:30〜21:30（オーダーストップ）\n■岩盤温浴\n10:00～21:50（21:00受付終了）\n※清掃時間(16:20～16:30)と岩盤浴ホットヨガ開催時間帯は一部利用不可\n■リラクゼーション\n・ボディケア\n10:00～22:30（21:30受付終了）\n・ボディスクラブ\n10:00～22:30（21:30受付終了）","平日　　　大人750円　子供350円\n土日祝　　大人850円　子供400円","https://sauna-ikitai.com/saunas/1333","2022/08/09 22:42:10"
"510","3078","100","対象：男女","大阪府 大阪市","天然温泉 なにわの湯","温浴施設（スーパー銭湯・サウナ・スパ施設）","大阪府 大阪市 北区長柄西1-7-31","06-6882-4126","https://www.naniwanoyu.com/","年中無休（メンテナンスなどでの臨時休館日あり）\n4月5日から4月20日まで臨時休業","月曜日: 10時00分～1時00分\n火曜日: 10時00分～1時00分\n水曜日: 10時00分～1時00分\n木曜日: 10時00分～1時00分\n金曜日: 10時00分～1時00分\n土曜日: 8時00分～1時00分\n日曜日: 8時00分～1時00分","タオル150円\nバスタオル500円","https://sauna-ikitai.com/saunas/3075","2022/08/09 22:42:13"
"510","372","79","対象：男女","静岡県 静岡市","sauna MYSA","温浴施設（スーパー銭湯・サウナ・スパ施設）","静岡県 静岡市 葵区足久保口組1620-1","054-297-5337","https://sauna-mysa.jp/","月・火曜日\n\n※月・火が祝日の場合は、定休日が翌日に移動。","月曜日: 定休日\n火曜日: 定休日\n水曜日: 14時00分～22時00分\n木曜日: 14時00分～22時00分\n金曜日: 14時00分～22時00分\n土曜日: 10時00分～18時00分\n日曜日: 10時00分～18時00分\n\n祝日　: 10時00分〜18時00分\n月・火曜日が祝日の場合は定休日が変わる\n\n最終受付は閉店1時間前","２時間：2000円\nフリー：3300円","https://sauna-ikitai.com/saunas/12428","2022/08/09 22:42:15"
"510","55","10","対象：男女","北海道 旭川市","ETANBETSU MARGINAL SAUNA(江丹別マージナルサウナ)","温浴施設（スーパー銭湯・サウナ・スパ施設）","北海道 旭川市 江丹別町拓北２１７","-","https://marginal-sauna.jp/","月曜日","-","詳しくはホームページの予約サイトをご覧ください。","https://sauna-ikitai.com/saunas/12961","2022/08/09 22:42:18"
"509","875","52","対象：男女","鳥取県 米子市","GOOD BLESS GARDEN","温浴施設（スーパー銭湯・サウナ・スパ施設）","鳥取県 米子市 角盤町1-27-2 GOOD BLESS GARDEN 5F","0859-21-9996","https://gbg-sauna.jp/","なし","10〜25時","一般：￥990／回　ハンドタオル付\nバスタオル、館内着有料レンタルあり\nキャビンルーム: ￥3000～\n月間契約あり。","https://sauna-ikitai.com/saunas/7260","2022/08/09 22:42:21"
"505","2759","171","男性専用","神奈川県 川崎市","カプセル&サウナ 川崎ビッグ","温浴施設（スーパー銭湯・サウナ・スパ施設）","神奈川県 川崎市 川崎区小川町15-11","044-246-0008","http://www.kawasaki-big.com/","年中無休","24時間。\nただしAM11:00から清掃する可能性あり。","中人のサウナ可（無料）\n3時間1100円","https://sauna-ikitai.com/saunas/2141","2022/08/09 22:42:23"
"505","2585","42","対象：男女","東京都 北区","柳湯(やなぎ湯)","銭湯（公衆浴場）","東京都 北区 東十条3-5-15 アクアヴィラ","03-3919-0364","http://www.1010.or.jp/map/item/item-cnt-575","月曜日\n※月曜祝日の場合振り替え営業→火曜日休み\n⤵︎\n現在コロナ禍にて情報の変更有り。","※現在　1時間の繰り上げ時短営業中⚠️\n22時30分　最終受付\n\n月曜日: 定休日\n火曜日: 14時30分～23時00分\n水曜日: 14時30分～23時00分\n木曜日: 14時30分～23時00分\n金曜日: 14時30分～23時00分\n土曜日: 14時30分～23時00分\n日曜日: 14時30分～23時00分\n※入館は22時30分まで","入浴料480円\nサウナ＋370円\n※タオル1枚・バスタオル1枚付き","https://sauna-ikitai.com/saunas/4779","2022/08/09 22:42:26"
"503","1310","69","対象：男女","埼玉県 飯能市","宮沢湖温泉 喜楽里別邸","温浴施設（スーパー銭湯・サウナ・スパ施設）","埼玉県 飯能市 宮沢27-49","042-983-4126","http://www.yurakirari.com/kirari-net/miyazawako_top.html","年に数回、メンテナンス休館日あり","9:00～23:00\n最終入場 22:00\n※営業時間は変更になっている可能性があります。公式HPで必ずご確認下さい。","・ゆったりコース (岩盤浴着・タオルセット付)\n平日：1,370円　（20時以降：1,270円）\n土休日・特定日：1,600円\n・シンプルコース (タオルセット付)\n平日：1,050円　（20時以降：950円）\n土休日・特定日：1,100円","https://sauna-ikitai.com/saunas/1502","2022/08/09 22:42:29"
"502","1139","18","対象：男女","東京都 世田谷区","八幡湯","銭湯（公衆浴場）","東京都 世田谷区 太子堂5-21-4","03-3422-3275","https://www.setagaya1010.tokyo/guide/hachiman-yu/","金曜 / 土曜","※※新型コロナウイルスのため当面23時迄の時短営業※※\n\n月曜日: 15時～0時\n火曜日: 15時～0時\n水曜日: 15時～0時\n木曜日: 15時～0時\n金曜日: 定休日\n土曜日: 定休日\n日曜日: 15時～0時","入浴料:460円\nサウナ料金:8/1から340円にアップ（大小タオル付き）\n入浴のみでも受付でお願いすればフェイスタオルを貸してもらえる\n使用後は絞って受付に返却\n靴箱の鍵は預けなくてよい","https://sauna-ikitai.com/saunas/1947","2022/08/09 22:42:32"
"501","259","6","対象：男女","富山県 高岡市","温泉天国よつやのゆ","温浴施設（スーパー銭湯・サウナ・スパ施設）","富山県 高岡市 四屋672-2","0766-26-7778","-","-","月曜日: 9時00分～0時00分\n火曜日: 9時00分～0時00分\n水曜日: 9時00分～0時00分\n木曜日: 9時00分～0時00分\n金曜日: 9時00分～0時00分\n土曜日: 9時00分～0時00分\n日曜日: 9時00分～0時00分","550円\nバスタオル貸出130円、フェイスタオル購入130円。","https://sauna-ikitai.com/saunas/5322","2022/08/09 22:42:35"
"500","1492","147","男性専用","愛知県 名古屋市","サウナ&カプセル フジ","温浴施設（スーパー銭湯・サウナ・スパ施設）","愛知県 名古屋市 中区錦3-22","052-962-5711","http://fto.co.jp/","-","月曜日: 24 時間営業\n火曜日: 24 時間営業\n水曜日: 24 時間営業\n木曜日: 24 時間営業\n金曜日: 24 時間営業\n土曜日: 24 時間営業\n日曜日: 24 時間営業","基本料金1880円(旧) →2200円(新)\n60分サウナ1000円(旧)→1100円(新)\n土日祝+200円","https://sauna-ikitai.com/saunas/2501","2022/08/09 22:42:38"
"497","1418","51","対象：男女","神奈川県 横浜市","港北天然温泉ゆったりCOco(ゆったりココ)","温浴施設（スーパー銭湯・サウナ・スパ施設）","神奈川県 横浜市 都筑区中川中央2-7-1 港北みなも3F","045-595-0260","http://www.sportsoasis.co.jp/coco/","偶数月の第一水曜日","月曜日: 10時00分～0時00分\n火曜日: 10時00分～0時00分\n水曜日: 10時00分～0時00分\n木曜日: 10時00分～0時00分\n金曜日: 10時00分～0時00分\n土曜日: 10時00分～0時00分\n日曜日: 10時00分～0時00分","平日【フルタイムコース】(館内着・タオル付き)　1,380円\n\n\n土日祝【5時間コース】(館内着・タオル付き)　1,400円\n\n\n平日～19:00の入館【お食事付きコース】(館内着・タオル付き)1,680円～\n\n※全て税込表示","https://sauna-ikitai.com/saunas/2108","2022/08/09 22:42:42"
"497","259","26","対象：男女","千葉県 富里市","湯楽城","温浴施設（スーパー銭湯・サウナ・スパ施設）","千葉県 富里市 七栄650-35","0476-91-6866","https://www.yurakujo.com/","月曜定休\n\n※2022年5月は、金土日の13:00～22:00のみ営業。それ以降はHPで情報確認。","13:00〜22:00(最終入場21:00)\nカプセルの利用は20:00～\nチェックアウトは翌朝8:00","大人（中学生以上）館内着バスタオルフェイスタオル付 土日祝日1,800円 平日1,400円（平日18時以後1,000円）\n子供（6歳～12歳）館内着バスタオルフェイスタオル付 一律900円(平日18時以後700円)\n5歳以下 上記セット無し 無料","https://sauna-ikitai.com/saunas/6135","2022/08/09 22:42:45"
"497","2200","191","対象：男女","埼玉県 川越市","小江戸温泉 KASHIBA","温浴施設（スーパー銭湯・サウナ・スパ施設）","埼玉県 川越市 松郷1313-1","049-277-4126","https://kashiba-onsen.jp/","不定休","湯処 10:00～24:00 (受付終了 23:00)\n岩盤浴 10:00〜23:00\n江戸の台所(味処) 11:00～22:00 (LO 21:30)\n癒し処(ゆるり) 11:00〜23:00(受付終了22:00)","・大人（中学生以上）　　　850円\n土日祝　　　　950円\n・小人（４歳以上〜小学生）500円\n・乳幼児（４歳未満）　　　300円\n●2022/07/01料金改定\n※入浴料金には岩盤浴の利用料も含まれています。\n（岩盤着・岩盤タオル1枚付き）\n※小学生以下は岩盤浴をご利用いただけません。","https://sauna-ikitai.com/saunas/12586","2022/08/09 22:42:48"
"496","1535","113","対象：男女","茨城県 つくば市","つくば温泉 喜楽里 別邸","温浴施設（スーパー銭湯・サウナ・スパ施設）","茨城県 つくば市 西大橋614-1","029-846-2641","http://www.yurakirari.com/kirari/tsukuba/ex/","年に数回のメンテナンス日あり","月曜日: 9時00分～0時00分\n火曜日: 9時00分～0時00分\n水曜日: 9時00分～0時00分\n木曜日: 9時00分～0時00分\n金曜日: 9時00分～0時00分\n土曜日: 9時00分～0時00分\n日曜日: 9時00分～0時00分","平日1100円\n土日祝・特定日1350円\n\n岩盤浴・漫画コーナー追加料金\n平日300円\n土日祝・特定日330円\nカード会員価格980円平日土日祝\n\n※2022年2月1日より値上げあり","https://sauna-ikitai.com/saunas/4678","2022/08/09 22:42:50"
"492","1445","67","対象：男女","東京都 江戸川区","東京健康ランド まねきの湯","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 江戸川区 船堀1-2-1","03-3878-4126","http://www.manekinoyu.jp/tokyokenkoland/pc/","-","月曜日: 10時00分～9時00分\n火曜日: 10時00分～9時00分\n水曜日: 10時00分～9時00分\n木曜日: 10時00分～9時00分\n金曜日: 10時00分～9時00分\n土曜日: 10時00分～9時00分\n日曜日: 10時00分～9時00分","※ 江戸川区入湯税150円が別途加算されます。\n※ 燃料調整料金が別途加算されます。\n\n【通常入館】\n10:00〜26:00\n大人(中学生以上) 平日2270円 土日祝2470円\n小学生以下無料\n\n【学割】\n平日2050円(タオル付)\n土日祝2250円(タオル付)\n※中高大院生で学生証必須\n\n【朝風呂】\n5:00〜8:00\n大人(中学生以上) 平日土日祝560円\n小学生以下 土日祝日無料","https://sauna-ikitai.com/saunas/1844","2022/08/09 22:42:55"
"490","935","14","対象：男女","東京都 新宿区","弁天湯","銭湯（公衆浴場）","東京都 新宿区 余丁町5-1","03-3357-7370","http://bentenyu.jimdo.com/","水曜日","月曜日: 14時30分～1時00分\n火曜日: 14時30分～1時00分\n水曜日: 定休日\n木曜日: 14時30分～1時00分\n金曜日: 14時30分～1時00分\n土曜日: 14時30分～1時00分\n日曜日: 14時30分～1時00分","タオル大小、サウナマット込み 960円\n\n回数券 11枚綴り 9,000円\n\nサウナ客はアメニティ１点プレゼント\n※7/15からサウナ料金1000円に値上げ予定","https://sauna-ikitai.com/saunas/1819","2022/08/09 22:42:57"
"489","1325","34","対象：男女","東京都 立川市","立川湯屋敷梅の湯","銭湯（公衆浴場）","東京都 立川市 高松町3-13-2","042-522-3800","https://www.ume-no-yu.net/","無休","月曜日: 15時00分～0時00分\n火曜日: 15時00分～0時00分\n水曜日: 15時00分～0時00分\n木曜日: 15時00分～0時00分\n金曜日: 15時00分～0時00分\n土曜日: 15時00分～0時00分\n日曜日: 15時00分～0時00分","サウナ780円\nレンタルタオル50円\nバスタオル100円","https://sauna-ikitai.com/saunas/1774","2022/08/09 22:43:00"
"488","117","4","対象：男女","秋田県 仙北市","タザワコサウナ","その他","秋田県 仙北市 田沢湖田沢春山 湖畔の杜レストラン「ORAE」前面の砂浜","-","https://tazawakosauna.com/","月〜木曜日","▼事前予約制\n1組あたり/2.5時間制\n\n＜予約可能枠＞\n営業日：金／土／日／祝\n\n●1枠)10:00-12:30\n●2枠)13:00-15:30\n●3枠)16:00-18:30","▼「テントサウナ®︎」レンタル料金\n1枠あたり/15,000円（税込）\n※1〜6名様まで予約可\n例：6名様でご利用の場合\n→1名様あたり/＠2,500円（税込）\n※小学生以下のお子様は無料・カウントせず\n※お支払いは現地にて現金のみ","https://sauna-ikitai.com/saunas/9116","2022/08/09 22:43:03"
"487","887","38","対象：男女","北海道 札幌市","JRタワーホテル日航札幌 スカイリゾートスパプラウブラン","ホテル・旅館","北海道 札幌市 中央区北5条西2-5","011-251-6366","http://www.jrhotels.co.jp/tower/spa/","-","12:00～23:00（最終入館22:30）\n翌朝06:00～09:00　（最終入館8:30）※ご宿泊のお客様限定","スパご入浴料 2,960円\nぶんぶんクラブ会員　2,520円\nOne Harmonyプレミアムセレクション会員 2,410円\n宿泊者 1,800円\n※サービス料・入湯税・消費税込み","https://sauna-ikitai.com/saunas/155","2022/08/09 22:43:06"
"486","3856","39","男性専用","東京都 目黒区","サウナ&カプセルミナミ学芸大店","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 目黒区 鷹番3-9-9","03-3760-3731","http://sauna.meiseikosan.com","なし","24時間営業","早朝サウナ 1,650円(受付:朝6時〜昼12時、18時まで利用可)\n一般サウナ 1,980円(受付:昼12時〜夜23時、夜24時まで利用可)\n深夜サウナ 3,080円(受付:夜23時〜朝6時、朝10時まで利用可)\nショートサウナ 1,100円(受付:昼12時〜19時、60分利用可)\n※別途、お得な会員制度有\n\n施設利用者は、ジムの利用も可。9:00～22:00はトレーナー駐在。\n\nレンタルウェア上下　250円\nレンタルシューズ　　200円\nプロテインバー有　　350円","https://sauna-ikitai.com/saunas/1991","2022/08/09 22:43:09"
"483","1519","98","対象：男女","長野県 塩尻市","信州健康ランド","温浴施設（スーパー銭湯・サウナ・スパ施設）","長野県 塩尻市 広丘吉田366-1","0263-57-8111","http://www.kur-hotel.co.jp/shinsyu/","-","24時間営業\n但し、下記の時間は清掃の為、大浴場の利用不可。\n女性 3:00～4:00、男性 4:00～5:00\n※2021年7月14日（水）…館内メンテナンス休館日","●一般\n1980円\n※webクーポン有り\n\n●会員\n1540円\n\n●プラチナ会員\n月額11,000円（1日6時間まで利用可）\n\n宿泊の場合は浴場利用無料","https://sauna-ikitai.com/saunas/1347","2022/08/09 22:43:12"
"481","2030","171","対象：男女","静岡県 静岡市","東静岡 天然温泉 柚木の郷","温浴施設（スーパー銭湯・サウナ・スパ施設）","静岡県 静岡市 葵区東静岡1-1-57","054-261-1101","http://www.yunokinosato.com/","年中無休（施設メンテナンス日は除く）","月曜日: 10時00分～0時00分\n火曜日: 10時00分～0時00分\n水曜日: 10時00分～0時00分\n木曜日: 10時00分～0時00分\n金曜日: 10時00分～0時00分\n土曜日: 9時00分～0時00分\n日曜日: 9時00分～0時00分","【平日】\n大人（中学生以上） 990円　税込\n子供（小学生以下 495円　税込\n３歳以下 無料\n\n【土日祝】\n大人（中学生以上） 1100円 税込\n子供（小学生以下 550円 税込\n３歳以下 無料\n\nフェイスタオル(販売) 170円　税込\nバスタオル(レンタル) 220円　税込\n入泉セット 330円　 税込\n館内着(レンタル) 220円　　税込\n\n薬石健美房(岩盤浴)　上記入泉料にプラス1100円　　税込","https://sauna-ikitai.com/saunas/2742","2022/08/09 22:43:16"
"478","1649","118","対象：男女","愛媛県 松山市","伊予の湯治場 喜助の湯","温浴施設（スーパー銭湯・サウナ・スパ施設）","愛媛県 松山市 宮田町4 キスケBOX1F","089-998-3300","http://www.kisuke.com/yu-matsuyama/","年中無休\n＊不定期のメンテンナンス休業あり","月曜日: 10時00分～2時00分\n火曜日: 5時00分～2時00分\n水曜日: 5時00分～2時00分\n木曜日: 5時00分～2時00分\n金曜日: 5時00分～2時00分\n土曜日: 5時00分～2時00分\n日曜日: 5時00分～2時00分","大人朝風呂（5：00～10：00）：平日500円　土・日・祝550円\n大人入浴料（10：00～25：00）：平日600円　土・日・祝650円\n子供(4歳〜小学生)朝風呂（5：00～10：00）：200円\n子供(4歳〜小学生)入浴料（10：00～25：00）：300円\n＊会員料金","https://sauna-ikitai.com/saunas/3702","2022/08/09 22:43:18"
"477","1377","70","対象：男女","東京都 八王子市","京王高尾山温泉 極楽湯","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 八王子市 高尾町2229-7","042-663-4126","http://www.takaosan-onsen.jp/","なし","月曜日: 8時00分～23時00分\n火曜日: 8時00分～23時00分\n水曜日: 8時00分～23時00分\n木曜日: 8時00分～23時00分\n金曜日: 8時00分～23時00分\n土曜日: 8時00分～23時00分\n日曜日: 8時00分～23時00分","土日祝日＆繁忙期料金：1200円\n（繁忙期：年始、GW、11月中）\n\n※入浴料から館内の精算は\nクレジットカードは使えないが、PASMOが使える。","https://sauna-ikitai.com/saunas/1986","2022/08/09 22:43:21"
